city,county,latitude,longitude,name,rank,scores_industry_income,scores_international_outlook,scores_overall,scores_research,scores_teaching,state,stats_female_male_ratio,stats_pc_intl_students,stats_student_staff_ratio,year
Stanford,Santa Clara,37.432974,-122.175045,Stanford University,2,90.1,79.5,94.9,96.7,92.2,CA,44 : 56,23%,7.4,2021
Cambridge,Middlesex,42.374172,-71.118234,Harvard University,3,46.8,77.7,94.8,98.8,94.4,MA,49 : 51,25%,9.3,2021
Pasadena,Los Angeles,34.139181,-118.125567,California Institute of Technology,4,92.7,83.6,94.5,96.9,92.5,CA,36 : 64,33%,6.3,2021
Cambridge,Middlesex,42.360095,-71.092115,Massachusetts Institute of Technology,5,90.4,90.0,94.4,94.4,90.7,MA,39 : 61,34%,8.4,2021
New Haven,New Haven,41.312308,-72.922511,Yale University,8,56.1,68.4,91.6,93.8,91.9,CT,50 : 50,20%,6.0,2021
Princeton,Mercer,40.347141,-74.657698,Princeton University,9,58.0,80.2,91.5,92.5,88.8,NJ,46 : 54,23%,8.0,2021
Baltimore,Baltimore,39.329808,-76.620723,Johns Hopkins University,12,93.4,73.9,89.2,91.8,81.6,MD,52 : 48,27%,4.4,2021
Philadelphia,Philadelphia,39.951002,-75.193618,University of Pennsylvania,13,77.9,66.3,88.9,89.9,85.4,PA,52 : 48,21%,6.4,2021
Ithaca,Tompkins,42.448713,-76.476535,Cornell University,19,36.3,73.7,85.3,86.7,78.8,NY,50 : 50,25%,10.2,2021
Durham,Durham,36.002344,-78.938597,Duke University,=20,99.7,65.5,84.8,80.4,80.7,NC,49 : 51,21%,4.3,2021
Ann Arbor,Washtenaw,42.27803,-83.736564,University of Michigan-Ann Arbor,22,47.2,59.6,84.0,86.9,79.0,MI,50 : 50,17%,8.3,2021
Evanston,Cook,42.058377,-87.673653,Northwestern University,24,69.9,64.5,83.6,83.6,74.9,IL,49 : 51,19%,13.0,2021
New York,New York,40.729452,-73.997264,New York University,26,37.3,69.6,81.9,80.6,76.1,NY,57 : 43,34%,8.8,2021
Pittsburgh,Allegheny,40.443598,-79.943485,Carnegie Mellon University,28,53.3,80.5,81.0,81.3,65.1,PA,43 : 57,48%,13.7,2021
Champaign,Champaign,40.108312,-88.228482,University of Illinois at Urbana-Champaign,48,49.5,55.1,72.3,79.1,62.5,IL,48 : 52,24%,17.8,2021
Madison,Dane,43.073858,-89.405356,University of Wisconsin-Madison,49,45.0,48.4,71.4,71.4,68.2,WI,,13%,9.8,2021
Saint Louis,St. Louis,38.648125,-90.311639,Washington University in St Louis,50,40.4,59.1,71.1,58.7,61.2,MO,,21%,7.5,2021
Los Angeles,Los Angeles,34.021058,-118.283858,University of Southern California,53,39.2,64.9,70.4,58.4,63.8,CA,49 : 51,23%,13.0,2021
Boston,Suffolk,42.349581,-71.09984,Boston University,=54,41.7,64.9,70.3,60.9,58.9,MA,59 : 41,28%,11.1,2021
Chapel Hill,Orange,35.912165,-79.050969,University of North Carolina at Chapel Hill,=56,42.5,39.7,70.1,63.3,60.6,NC,58 : 42,8%,8.2,2021
Providence,Providence,41.826853,-71.402925,Brown University,61,36.1,62.3,69.5,56.6,62.4,RI,,20%,10.8,2021
Atlanta,DeKalb,33.798836,-84.325782,Emory University,=85,46.7,59.2,63.7,41.1,53.9,GA,59 : 41,20%,4.0,2021
Hanover,Grafton,43.705524,-72.288842,Dartmouth College,=101,37.8,40.7,61.7,39.2,57.8,NH,48 : 52,15%,7.6,2021
East Lansing,Ingham,42.72476,-84.473639,Michigan State University,105,36.4,63.6,61.5,55.1,53.1,MI,51 : 49,15%,16.1,2021
Nashville,Davidson,36.14443,-86.804875,Vanderbilt University,=111,53.5,43.6,61.0,44.5,48.9,TN,54 : 46,15%,3.0,2021
Washington,District of Columbia,38.908809,-77.073463,Georgetown University,120,65.7,47.2,60.1,33.8,54.5,DC,55 : 45,19%,8.5,2021
Cleveland,Cuyahoga,41.504095,-81.604893,Case Western Reserve University,=121,40.7,53.5,60.0,41.0,47.3,OH,50 : 50,23%,9.1,2021
Tucson,Pima,32.232866,-110.950086,University of Arizona,=124,50.3,40.4,59.8,51.7,47.6,AZ,52 : 48,9%,18.0,2021
Houston,Harris,29.716218,-95.404977,Rice University,=124,42.9,77.3,59.8,38.4,48.0,TX,42 : 58,28%,9.2,2021
Boulder,Boulder,40.004415,-105.267061,University of Colorado Boulder,=131,42.0,47.5,58.9,45.9,43.8,CO,44 : 56,11%,16.1,2021
Rochester,Monroe,43.126397,-77.631202,University of Rochester,=147,41.4,69.8,57.8,35.2,45.4,NY,49 : 51,34%,4.9,2021
Gainesville,Alachua,29.638248,-82.361195,University of Florida,=152,56.1,40.5,57.4,60.4,54.2,FL,56 : 44,9%,16.1,2021
Medford,Middlesex,42.406004,-71.120641,Tufts University,=155,38.5,50.0,57.3,33.0,46.7,MA,55 : 45,16%,9.7,2021
Birmingham,Jefferson,33.50223,-86.80917,University of Alabama at Birmingham,169,78.6,38.4,56.2,35.5,38.4,AL,63 : 37,6%,17.3,2021
Notre Dame,St. Joseph,41.699587,-86.237075,University of Notre Dame,=170,38.1,57.3,56.0,45.5,52.1,IN,46 : 54,12%,10.9,2021
Washington,District of Columbia,38.899096,-77.046277,George Washington University,=187,34.4,55.9,54.9,33.3,46.9,DC,60 : 40,17%,13.4,2021
Waltham,Middlesex,42.364947,-71.254716,Brandeis University,201–250,34.7,55.8,50.6–54.2,24.4,28.1,MA,58 : 42,27%,12.7,2021
Washington,District of Columbia,38.920739,-77.019478,Howard University,201–250,33.3,35.0,50.6–54.2,17.0,43.9,DC,67 : 33,8%,9.3,2021
Iowa City,Johnson,41.660695,-91.535698,University of Iowa,201–250,50.6,46.1,50.6–54.2,30.2,42.3,IA,53 : 47,10%,11.6,2021
Coral Gables,Miami-Dade,25.720406,-80.27645,University of Miami,201–250,40.5,60.6,50.6–54.2,25.0,45.1,FL,52 : 48,16%,6.3,2021
Salt Lake City,Salt Lake,40.762484,-111.846044,University of Utah,201–250,56.4,32.8,50.6–54.2,31.8,38.3,UT,48 : 52,8%,14.8,2021
Blacksburg,Montgomery,37.229906,-80.419988,Virginia Polytechnic Institute and State University,201–250,47.8,55.6,50.6–54.2,42.4,36.2,VA,43 : 57,14%,18.4,2021
Buffalo,Erie,42.955292,-78.819555,University at Buffalo,251–300,44.7,64.6,48.0–50.5,34.0,36.8,NY,44 : 56,16%,17.5,2021
Tallahassee,Leon,30.443222,-84.301554,Florida State University,251–300,38.7,45.9,48.0–50.5,40.1,37.9,FL,57 : 43,7%,25.8,2021
Fairfax,Fairfax,38.83088,-77.30794,George Mason University,251–300,35.0,47.8,48.0–50.5,28.9,31.0,VA,53 : 47,11%,18.1,2021
Fort Lauderdale,Broward,26.079337,-80.24248,Nova Southeastern University,251–300,33.3,29.3,48.0–50.5,11.5,38.7,FL,70 : 30,6%,21.2,2021
Winston Salem,Forsyth,36.135301,-80.279004,Wake Forest University,251–300,42.2,32.6,48.0–50.5,20.5,39.1,NC,54 : 46,10%,4.1,2021
Chestnut Hill,Middlesex,42.336203,-71.169242,Boston College,301–350,33.5,44.0,45.6–47.9,33.3,48.2,MA,54 : 46,11%,15.5,2021
Newark,New Castle,39.678028,-75.752833,University of Delaware,301–350,95.1,48.9,45.6–47.9,39.7,27.9,DE,57 : 43,10%,17.1,2021
Chicago,Cook,41.833801,-87.628346,Illinois Institute of Technology,301–350,36.4,75.7,45.6–47.9,27.3,42.2,IL,36 : 64,49%,14.5,2021
Eugene,Lane,44.044515,-123.07398,University of Oregon,301–350,34.3,35.9,45.6–47.9,24.2,33.0,OR,54 : 46,10%,10.6,2021
Chicago,Cook,41.873493,-87.669466,Rush University,301–350,41.7,21.3,45.6–47.9,14.6,39.9,IL,74 : 26,2%,2.2,2021
Stony Brook,Suffolk,40.91554,-73.12112,Stony Brook University,301–350,34.7,71.8,45.6–47.9,24.5,33.3,NY,50 : 50,23%,10.6,2021
Syracuse,Onondaga,43.039891,-76.13267,Syracuse University,301–350,34.9,49.6,45.6–47.9,28.3,34.7,NY,53 : 47,20%,15.0,2021
Philadelphia,Philadelphia,39.980712,-75.158452,Temple University,301–350,33.3,39.2,45.6–47.9,25.3,38.8,PA,53 : 47,9%,13.1,2021
Pullman,Whitman,46.730448,-117.158168,Washington State University,301–350,49.4,49.3,45.6–47.9,30.5,32.1,WA,53 : 47,7%,18.4,2021
Philadelphia,Philadelphia,39.954855,-75.188745,Drexel University,351–400,43.0,50.3,43.6–45.5,22.3,35.7,PA,51 : 49,16%,11.4,2021
Lawrence,Douglas,38.956474,-95.258651,University of Kansas,351–400,44.0,48.4,43.6–45.5,24.8,36.6,KS,52 : 48,9%,9.9,2021
Detroit,Wayne,42.35861,-83.072864,Wayne State University,351–400,48.1,37.4,43.6–45.5,18.4,33.6,MI,57 : 43,7%,11.6,2021
Fairbanks,Fairbanks North Star,64.855573,-147.825921,University of Alaska Fairbanks,401–500,41.3,55.7,39.8–43.5,24.1,28.8,AK,52 : 48,5%,8.2,2021
Washington,District of Columbia,38.936981,-77.088785,American University,401–500,38.7,34.6,39.8–43.5,17.6,39.5,DC,63 : 37,13%,13.5,2021
Worcester,Worcester,42.250778,-71.823632,Clark University,401–500,33.3,57.8,39.8–43.5,22.2,23.9,MA,60 : 40,23%,11.5,2021
Golden,Jefferson,39.749092,-105.222907,Colorado School of Mines,401–500,46.0,41.0,39.8–43.5,26.2,30.8,CO,30 : 70,11%,17.2,2021
Storrs,Tolland,41.807658,-72.256961,University of Connecticut,401–500,36.7,53.0,39.8–43.5,28.8,34.7,CT,52 : 48,11%,13.2,2021
Denver,Denver,39.681439,-104.961532,University of Denver,401–500,34.7,27.5,39.8–43.5,22.8,40.2,CO,57 : 43,8%,12.6,2021
Miami,Miami-Dade,25.757111,-80.377591,Florida International University,401–500,34.4,39.6,39.8–43.5,27.1,30.6,FL,58 : 42,8%,23.7,2021
Athens,Clarke,33.937727,-83.37143,University of Georgia,401–500,36.2,46.3,39.8–43.5,36.1,40.3,GA,57 : 43,7%,16.6,2021
Atlanta,Fulton,33.7527,-84.38667,Georgia State University,401–500,34.4,37.0,39.8–43.5,26.9,32.1,GA,58 : 42,6%,15.3,2021
Ames,Story,42.025303,-93.65024,Iowa State University,401–500,49.5,57.0,39.8–43.5,32.3,30.7,IA,44 : 56,12%,18.1,2021
Lexington,Fayette,38.028761,-84.502517,University of Kentucky,401–500,38.1,38.1,39.8–43.5,26.6,36.6,KY,56 : 44,4%,13.3,2021
Rolla,Phelps,37.955853,-91.7759,Missouri University of Science and Technology,401–500,54.6,65.9,39.8–43.5,25.5,25.2,MO,24 : 76,12%,21.6,2021
Lincoln,Lancaster,40.821787,-96.700663,University of Nebraska-Lincoln,401–500,36.9,58.0,39.8–43.5,27.3,26.1,NE,48 : 52,12%,16.6,2021
Corvallis,Benton,44.563109,-123.278711,Oregon State University,401–500,36.3,53.2,39.8–43.5,29.5,29.6,OR,47 : 53,11%,16.6,2021
Columbia,Richland,33.996677,-81.026916,University of South Carolina-Columbia,401–500,35.0,44.6,39.8–43.5,27.5,33.6,SC,54 : 46,6%,16.4,2021
Hempstead,Nassau,40.715959,-73.60078,Hofstra University,501–600,33.3,30.9,36.4–39.7,15.1,26.6,NY,57 : 43,9%,13.5,2021
Houston,Harris,29.719988,-95.344851,University of Houston,501–600,37.0,43.4,36.4–39.7,25.4,33.0,TX,50 : 50,9%,26.0,2021
Omaha,Douglas,41.255088,-95.976346,University of Nebraska Medical Center,501–600,37.3,45.2,36.4–39.7,12.7,34.6,NE,64 : 36,8%,2.6,2021
Newark,Essex,40.741997,-74.177113,New Jersey Institute of Technology,501–600,35.4,86.0,36.4–39.7,19.0,22.6,NJ,26 : 74,27%,14.8,2021
Flagstaff,Coconino,35.188875,-111.655559,Northern Arizona University,501–600,34.0,32.6,36.4–39.7,14.2,20.5,AZ,61 : 39,5%,27.6,2021
Troy,Rensselaer,42.728983,-73.678768,Rensselaer Polytechnic Institute,501–600,55.8,56.6,36.4–39.7,25.9,29.3,NY,32 : 68,21%,14.5,2021
Hoboken,Hudson,40.744776,-74.025334,Stevens Institute of Technology,501–600,38.3,70.6,36.4–39.7,19.4,22.2,NJ,29 : 71,38%,17.9,2021
San Antonio,Bexar,29.582418,-98.621386,The University of Texas at San Antonio,501–600,35.5,36.5,36.4–39.7,20.1,19.3,TX,51 : 49,4%,25.1,2021
Tuscaloosa,Tuscaloosa,33.2144,-87.545766,The University of Alabama,601–800,34.4,29.3,30.2–36.3,17.5,26.9,AL,56 : 44,4%,22.4,2021
Huntsville,Madison,34.722818,-86.63842,University of Alabama in Huntsville,601–800,70.2,43.9,30.2–36.3,20.9,20.8,AL,44 : 56,7%,18.0,2021
Fayetteville,Washington,36.065642,-94.177852,University of Arkansas,601–800,36.0,29.8,30.2–36.3,26.9,27.7,AR,53 : 47,5%,19.9,2021
Auburn University,Lee,32.600201,-85.492409,Auburn University,601–800,40.0,45.7,30.2–36.3,21.4,30.7,AL,50 : 50,9%,19.0,2021
Orlando,Orange,28.602159,-81.200889,University of Central Florida,601–800,43.6,33.2,30.2–36.3,28.9,25.0,FL,56 : 44,4%,35.7,2021
Orange,Orange,33.793678,-117.851481,Chapman University,601–800,36.8,35.9,30.2–36.3,12.8,38.1,CA,60 : 40,7%,12.8,2021
Clemson,Pickens,34.677329,-82.834463,Clemson University,601–800,38.3,39.5,30.2–36.3,21.0,25.3,SC,48 : 52,7%,16.1,2021
Omaha,Douglas,41.265354,-95.9478,Creighton University,601–800,34.6,25.8,30.2–36.3,12.2,41.4,NE,58 : 42,5%,11.2,2021
Moscow,Latah,46.726894,-117.024296,University of Idaho,601–800,35.3,48.1,30.2–36.3,21.8,32.5,ID,49 : 51,8%,17.3,2021
Manhattan,Riley,39.188616,-96.581077,Kansas State University,601–800,42.4,45.7,30.2–36.3,19.9,24.3,KS,50 : 50,8%,14.1,2021
Bethlehem,Northampton,40.606626,-75.377095,Lehigh University,601–800,38.1,63.4,30.2–36.3,20.7,27.9,PA,45 : 55,19%,11.0,2021
Saint Louis,St. Louis,38.711297,-90.308886,University of Missouri-St Louis,601–800,42.8,39.0,30.2–36.3,18.4,27.7,MO,58 : 42,5%,15.5,2021
Bozeman,Gallatin,45.666829,-111.049918,Montana State University,601–800,42.7,28.1,30.2–36.3,18.3,20.2,MT,47 : 53,3%,17.6,2021
Greensboro,Guilford,36.067503,-79.809844,University of North Carolina at Greensboro,601–800,33.6,22.4,30.2–36.3,19.7,22.2,NC,66 : 34,4%,21.5,2021
Kingston,Washington,41.489334,-71.528708,University of Rhode Island,601–800,33.4,38.0,30.2–36.3,16.9,23.1,RI,58 : 42,3%,15.0,2021
San Diego,San Diego,32.77525,-117.071228,San Diego State University,601–800,34.3,33.6,30.2–36.3,11.4,23.7,CA,55 : 45,8%,29.9,2021
Lubbock,Lubbock,33.580451,-101.877129,Texas Tech University,601–800,35.3,49.2,30.2–36.3,20.3,29.1,TX,47 : 53,9%,20.9,2021
Toledo,Lucas,41.657246,-83.615936,University of Toledo,601–800,42.7,46.4,30.2–36.3,13.7,31.6,OH,51 : 49,10%,15.5,2021
Bellingham,Whatcom,48.737379,-122.485016,Western Washington University,601–800,33.5,26.4,30.2–36.3,10.2,15.9,WA,58 : 42,1%,18.4,2021
Milwaukee,Milwaukee,43.076848,-87.880488,University of Wisconsin-Milwaukee,601–800,35.2,33.4,30.2–36.3,22.7,21.8,WI,54 : 46,6%,18.7,2021
Worcester,Worcester,42.274953,-71.807916,Worcester Polytechnic Institute,601–800,35.3,54.3,30.2–36.3,17.7,24.5,MA,35 : 65,22%,12.5,2021
Waco,McLennan,31.54615,-97.118453,Baylor University,801–1000,34.1,35.6,25.1–30.1,14.5,29.7,TX,58 : 42,6%,15.3,2021
Tallahassee,Leon,30.427513,-84.288441,Florida Agricultural and Mechanical University,801–1000,33.9,28.3,25.1–30.1,11.6,34.5,FL,66 : 34,1%,15.3,2021
Boca Raton,Palm Beach,26.372421,-80.102978,Florida Atlantic University,801–1000,38.9,44.8,25.1–30.1,17.7,19.6,FL,57 : 43,10%,18.5,2021
Melbourne,Brevard,28.064503,-80.624628,Florida Institute of Technology,801–1000,37.6,57.1,25.1–30.1,14.4,23.4,FL,34 : 66,33%,14.3,2021
Ruston,Lincoln,32.525518,-92.64964,Louisiana Tech University,801–1000,35.1,33.5,25.1–30.1,11.6,16.9,LA,44 : 56,4%,25.4,2021
Milwaukee,Milwaukee,43.037183,-87.931088,Marquette University,801–1000,35.4,26.2,25.1–30.1,15.5,36.3,WI,55 : 45,4%,11.9,2021
Memphis,Shelby,35.122076,-89.937883,University of Memphis,801–1000,34.8,25.4,25.1–30.1,17.4,26.0,TN,59 : 41,3%,14.2,2021
Mississippi State,Oktibbeha,33.451697,-88.790826,Mississippi State University,801–1000,45.8,28.4,25.1–30.1,17.6,21.1,MS,51 : 49,3%,19.1,2021
New York,New York,40.735047,-73.994807,The New School,801–1000,38.0,50.1,25.1–30.1,15.3,25.5,NY,72 : 28,35%,9.5,2021
Norfolk,Norfolk,36.884919,-76.309653,Old Dominion University,801–1000,33.3,30.3,25.1–30.1,19.7,23.4,VA,56 : 44,3%,18.2,2021
Portland,Multnomah,45.511698,-122.684197,Portland State University,801–1000,34.6,30.3,25.1–30.1,18.7,21.4,OR,56 : 44,8%,18.4,2021
Rochester,Monroe,43.084436,-77.673854,Rochester Institute of Technology,801–1000,34.6,41.8,25.1–30.1,18.2,20.1,NY,35 : 65,17%,15.7,2021
Vermillion,Clay,42.784676,-96.926533,University of South Dakota,801–1000,34.9,25.8,25.1–30.1,15.4,34.2,SD,,3%,15.8,2021
Carbondale,Jackson,37.717389,-89.221214,Southern Illinois University Carbondale,801–1000,45.1,34.3,25.1–30.1,18.9,31.3,IL,48 : 52,8%,14.9,2021
Greenville,Pitt,35.606347,-77.366199,East Carolina University,1001+,37.5,29.2,10.3–25.0,12.6,22.1,NC,58 : 42,2%,14.5,2021
Harrisonburg,Harrisonburg,38.435332,-78.871663,James Madison University,1001+,33.6,27.7,10.3–25.0,11.3,18.1,VA,60 : 40,2%,17.9,2021
Baltimore,Baltimore,39.344235,-76.584238,Morgan State University,1001+,33.4,48.7,10.3–25.0,10.0,18.2,MD,54 : 46,13%,13.8,2021
Wilmington,New Hanover,34.225223,-77.875527,University of North Carolina Wilmington,1001+,34.4,27.5,10.3–25.0,8.2,16.2,NC,62 : 38,2%,18.8,2021
Rochester Hills,Oakland,42.674569,-83.216414,Oakland University,1001+,33.8,30.8,10.3–25.0,13.9,27.2,MI,57 : 43,4%,18.1,2021
Kalamazoo,Kalamazoo,42.280799,-85.613482,Western Michigan University,1001+,33.6,34.6,10.3–25.0,15.4,20.2,MI,52 : 48,7%,21.8,2021
Tempe,Maricopa,33.4172,-111.9355,Arizona State University (Tempe),=184,37.1,62.8,55.2,47.8,38.2,AZ,43 : 57,20%,19.7,2021
Bowling Green,Wood,41.377,-83.6376,Bowling Green State University,801–1000,33.4,26.0,25.1–30.1,13.1,20.0,OH,57 : 43,4%,16.3,2021
Fort Collins,Larimer,39.7448,-104.9887,"Colorado State University, Fort Collins",401–500,39.0,38.3,39.8–43.5,24.7,28.9,CO,53 : 47,6%,16.1,2021
New York,New York,40.8075,-73.9619,Columbia University,17,45.0,79.8,86.8,82.9,85.1,NY,,39%,5.7,2021
Atlanta,Fulton,33.7756,-84.3963,Georgia Institute of Technology,38,65.8,78.9,75.8,76.8,59.5,GA,33 : 67,27%,23.6,2021
Bloomington,Monroe,39.1678,-86.5235,Indiana University,=140,51.7,53.6,58.2,48.8,49.8,IN,51 : 49,15%,15.0,2021
Kent,Portage,41.1516,-81.337,Kent State University,801–1000,33.8,39.5,25.1–30.1,17.6,22.4,TX,60 : 40,7%,17.6,2021
Baton Rouge,East Baton Rouge,30.4127,-91.1807,Louisiana State University,501–600,35.2,38.2,36.4–39.7,23.2,32.6,LA,53 : 47,6%,20.0,2021
Columbia,Boone,38.941,-92.3264,Mizzou - University of Missouri,401–500,34.8,41.5,39.8–43.5,25.7,35.3,MO,53 : 47,5%,12.5,2021
Las Cruces,Doña Ana,32.2829,-106.7478,New Mexico State University (Main campus),601–800,37.0,37.4,30.2–36.3,19.7,23.2,NY,55 : 45,7%,16.3,2021
Raleigh,Wake,35.7851,-78.6744,North Carolina State University,301–350,42.6,59.0,45.6–47.9,36.3,36.6,NC,46 : 54,15%,12.5,2021
Boston,Suffolk,42.3395,-71.0878,"Northeastern University, US",=176,36.5,76.0,55.8,29.1,36.7,MA,48 : 52,36%,14.1,2021
Columbus,Franklin,39.9995,-83.0082,Ohio State University (Main campus),=80,53.3,60.1,65.1,54.2,55.6,OH,50 : 50,13%,12.1,2021
Athens,Athens,39.3237,-82.1035,Ohio University (Main campus),601–800,34.9,29.6,30.2–36.3,17.8,28.7,OH,56 : 44,5%,23.0,2021
Stillwater,Payne,36.123,-97.0696,Oklahoma State University,401–500,39.4,44.1,39.8–43.5,20.4,28.6,OK,50 : 50,7%,15.4,2021
Portland,Multnomah,45.4988,-122.686,Oregon Health and Science University,251–300,46.1,27.8,48.0–50.5,17.4,36.5,OR,66 : 34,3%,1.0,2021
West Lafayette,Tippecanoe,40.4281,-86.9143,Purdue University West Lafayette,=94,69.9,71.5,62.5,65.5,57.1,IN,43 : 57,22%,16.3,2021
New Brunswick,Middlesex,40.4995,-74.447,Rutgers University – New Brunswick,166,40.4,52.5,56.4,48.5,47.3,NJ,52 : 48,17%,11.0,2021
Albany,Albany,42.6869,-73.8249,SUNY University at Albany,251–300,40.1,50.6,48.0–50.5,27.5,24.2,NY,53 : 47,9%,16.6,2021
College Station,Brazos,30.6107,-96.3491,Texas A&M University,197,44.9,56.1,54.5,51.6,47.4,TX,47 : 53,8%,24.4,2021
San Marcos,Hays,29.888,-97.9391,Texas State University,1001+,36.4,32.4,10.3–25.0,16.5,18.4,TX,59 : 41,1%,19.4,2021
Chicago,Cook,41.7901,-87.6009,The University of Chicago,10,54.9,74.0,90.3,90.5,88.9,IL,46 : 54,31%,5.9,2021
Knoxville,Knox,35.9551,-83.92966,The University of Tennessee-Knoxville,301–350,43.7,46.7,45.6–47.9,24.2,33.1,TN,,5%,16.6,2021
New Orleans,Orleans,29.9397,-90.1203,Tulane University,301–350,35.8,43.2,45.6–47.9,24.1,42.9,LA,58 : 42,11%,9.1,2021
Berkeley,Alameda,37.8757,-122.2484,"University of California, Berkeley",7,84.3,72.3,92.2,97.2,85.8,CA,51 : 49,17%,19.8,2021
Davis,Yolo,38.5381,-121.751,"University of California, Davis",=64,50.4,66.9,68.9,66.2,60.5,CA,58 : 42,17%,13.6,2021
Irvine,Orange,33.6431,-117.8378,"University of California, Irvine",=98,53.2,72.4,62.1,47.5,43.5,CA,52 : 48,27%,17.5,2021
Los Angeles,Los Angeles,34.0688,-118.4439,"University of California, Los Angeles",15,57.6,65.3,87.1,90.2,82.5,CA,55 : 45,17%,10.0,2021
Merced,Merced,37.3662,-120.4249,"University of California, Merced",301–350,38.8,43.9,45.6–47.9,23.0,21.6,CA,51 : 49,9%,21.2,2021
Riverside,Riverside,33.9745,-117.3287,"University of California, Riverside",251–300,37.5,65.7,48.0–50.5,30.3,31.2,CA,53 : 47,14%,17.7,2021
San Diego,San Diego,32.881,-117.2377,"University of California, San Diego",33,95.6,64.4,77.7,80.4,60.3,CA,47 : 53,30%,12.0,2021
Santa Barbara,Santa Barbara,34.4123,-119.8514,"University of California, Santa Barbara",68,81.8,70.0,67.9,59.6,45.8,CA,53 : 47,18%,28.2,2021
Santa Cruz,Santa Cruz,36.999,-122.0607,"University of California, Santa Cruz",201–250,38.9,63.6,50.6–54.2,31.9,31.4,CA,49 : 51,12%,23.8,2021
