city,county,latitude,longitude,name,rank,scores_industry_income,scores_international_outlook,scores_overall,scores_research,scores_teaching,state,stats_female_male_ratio,stats_pc_intl_students,stats_student_staff_ratio,year
Berkeley,Alameda,37.8757,-122.2484,"University of California, Berkeley",=13,46.1,70.4,88.3,90.6,83.0,CA,50 : 50,17%,13.7,2020
Davis,Yolo,38.5381,-121.751,"University of California, Davis",=55,51.4,62.4,69.7,66.9,62.4,CA,58 : 42,14%,12.0,2020
Irvine,Orange,33.6431,-117.8378,"University of California, Irvine",=96,58.9,71.9,62.3,46.5,43.3,CA,52 : 48,26%,16.5,2020
Los Angeles,Los Angeles,34.0688,-118.4439,"University of California, Los Angeles",17,51.3,64.1,86.8,88.6,83.1,CA,54 : 46,17%,9.4,2020
Merced,Merced,37.3662,-120.4249,"University of California, Merced",351–400,38.0,42.4,42.4–44.4,21.6,17.1,CA,51 : 49,8%,20.9,2020
Riverside,Riverside,33.9745,-117.3287,"University of California, Riverside",251–300,39.4,64.7,46.9–50.0,30.3,31.2,CA,53 : 47,14%,18.0,2020
San Diego,San Diego,32.881,-117.2377,"University of California, San Diego",31,90.3,63.7,78.8,78.9,62.6,CA,46 : 54,23%,13.0,2020
Santa Barbara,Santa Barbara,34.4123,-119.8514,"University of California, Santa Barbara",=57,84.5,68.1,69.6,63.6,47.9,CA,52 : 48,16%,27.6,2020
Santa Cruz,Santa Cruz,36.999,-122.0607,"University of California, Santa Cruz",=179,39.1,60.6,55.2,34.9,33.1,CA,50 : 50,10%,23.0,2020
Honolulu,Honolulu,21.2972,-157.8162,University of Hawai’i at Mānoa,201–250,51.5,65.5,50.1–53.7,38.9,36.3,HI,57 : 43,10%,10.8,2020
Chicago,Cook,41.8718,-87.6505,University of Illinois Chicago,251–300,43.2,54.9,46.9–50.0,33.4,45.0,IL,52 : 48,20%,11.5,2020
Baltimore,Baltimore,39.2567,-76.7115,"University of Maryland, Baltimore County",601–800,35.7,34.3,28.3–35.2,17.4,22.9,MD,45 : 55,8%,18.1,2020
College Park,Prince George's,38.9886,-76.9396,"University of Maryland, College Park",=91,39.2,41.2,62.7,59.1,46.9,MD,48 : 52,11%,16.6,2020
Amherst,Hampshire,42.3886,-72.5293,University of Massachusetts,201–250,49.9,61.7,50.1–53.7,31.1,38.5,MA,48 : 52,15%,13.0,2020
Minneapolis,Hennepin,44.9778,-93.2353,University of Minnesota,79,78.2,40.2,64.1,59.3,55.2,MN,52 : 48,11%,12.4,2020
Las Vegas,Clark,36.1069,-115.1411,"University of Nevada, Las Vegas",601–800,35.1,32.2,28.3–35.2,22.6,28.7,IN,57 : 43,5%,22.7,2020
Albuquerque,Bernalillo,35.0838,-106.6201,University of New Mexico (Main campus),301–350,37.4,33.2,44.5–46.8,31.8,29.2,NM,55 : 45,5%,17.1,2020
Pittsburgh,Allegheny,40.4426,-79.9541,University of Pittsburgh-Pittsburgh campus,=113,40.7,39.3,60.4,45.5,47.4,PA,51 : 49,11%,5.8,2020
Arlington,Tarrant,32.7291,-97.1151,University of Texas at Arlington,601–800,39.7,46.0,28.3–35.2,18.3,21.0,TX,56 : 44,15%,25.2,2020
Austin,Travis,30.2838,-97.7364,University of Texas at Austin,=38,46.6,39.1,75.4,76.2,68.2,TX,52 : 48,10%,17.2,2020
Richardson,Dallas,32.9894,-96.7487,University of Texas at Dallas,301–350,39.9,60.2,44.5–46.8,29.3,23.7,TX,43 : 57,25%,21.6,2020
El Paso,El Paso,31.7717,-106.5035,University of Texas at El Paso,801–1000,34.4,40.7,22.2–28.2,22.9,21.0,TX,53 : 47,8%,23.2,2020
Charlottesville,Albemarle,38.0339,-78.5118,University of Virginia (Main campus),=107,41.6,48.9,61.5,43.5,54.4,VA,52 : 48,12%,8.6,2020
Seattle,King,47.6557,-122.3108,University of Washington,26,47.5,60.4,81.6,82.2,72.2,WA,53 : 47,16%,11.1,2020
Williamsburg,James City,37.2732,-76.7196,William & Mary,201–250,35.3,37.3,50.1–53.7,21.1,47.5,VA,55 : 45,9%,11.4,2020
Stanford,Santa Clara,37.432974,-122.175045,Stanford University,3,64.6,79.3,94.7,96.8,93.6,CA,43 : 57,23%,7.4,2019
Cambridge,Middlesex,42.360095,-71.092115,Massachusetts Institute of Technology,4,87.6,89.0,94.2,92.7,91.9,MA,38 : 62,34%,8.7,2019
Pasadena,Los Angeles,34.139181,-118.125567,California Institute of Technology,5,88.2,62.3,94.1,97.2,94.5,CA,33 : 67,29%,6.5,2019
Cambridge,Middlesex,42.374172,-71.118234,Harvard University,6,48.7,79.7,93.6,98.4,90.1,MA,48 : 52,26%,9.1,2019
Princeton,Mercer,40.347141,-74.657698,Princeton University,7,57.3,80.1,92.3,93.6,89.9,NJ,45 : 55,24%,8.2,2019
New Haven,New Haven,41.312308,-72.922511,Yale University,8,51.5,68.3,91.3,93.5,91.6,CT,50 : 50,20%,5.2,2019
Baltimore,Baltimore,39.329808,-76.620723,Johns Hopkins University,=12,95.5,71.9,89.0,90.5,81.9,MD,52 : 48,25%,4.6,2019
Philadelphia,Philadelphia,39.951002,-75.193618,University of Pennsylvania,=12,70.3,63.6,89.0,89.2,87.4,PA,52 : 48,20%,6.4,2019
Durham,Durham,36.002344,-78.938597,Duke University,18,100.0,61.0,85.4,78.8,84.1,NC,48 : 52,18%,4.4,2019
Ithaca,Tompkins,42.448713,-76.476535,Cornell University,19,36.9,71.8,85.1,85.4,79.7,NY,49 : 51,25%,9.8,2019
Ann Arbor,Washtenaw,42.27803,-83.736564,University of Michigan-Ann Arbor,20,45.9,58.0,84.1,85.9,80.0,MI,48 : 52,17%,8.3,2019
Pittsburgh,Allegheny,40.443598,-79.943485,Carnegie Mellon University,24,48.1,79.4,82.0,81.2,69.0,PA,40 : 60,47%,13.3,2019
Evanston,Cook,42.058377,-87.673653,Northwestern University,25,75.8,63.0,81.7,83.6,69.0,IL,48 : 52,19%,13.0,2019
New York,New York,40.729452,-73.997264,New York University,27,38.9,65.0,81.0,76.1,77.7,NY,56 : 44,32%,8.9,2019
Madison,Dane,43.073858,-89.405356,University of Wisconsin-Madison,43,46.8,45.6,73.9,71.0,70.3,WI,,12%,10.5,2019
Champaign,Champaign,40.108312,-88.228482,University of Illinois at Urbana-Champaign,50,49.4,53.5,72.3,73.5,63.2,IL,47 : 53,24%,17.9,2019
Providence,Providence,41.826853,-71.402925,Brown University,53,36.2,60.4,71.4,57.3,67.3,RI,,21%,10.7,2019
Saint Louis,St. Louis,38.648125,-90.311639,Washington University in St Louis,54,39.5,56.5,70.9,56.6,63.1,MO,,20%,7.3,2019
Chapel Hill,Orange,35.912165,-79.050969,University of North Carolina at Chapel Hill,56,42.4,36.8,70.0,61.4,62.2,NC,57 : 43,8%,9.4,2019
Los Angeles,Los Angeles,34.021058,-118.283858,University of Southern California,66,39.2,66.3,67.0,56.6,53.2,CA,53 : 47,25%,11.6,2019
Boston,Suffolk,42.349581,-71.09984,Boston University,=74,36.5,62.3,65.0,44.8,56.3,MA,60 : 40,27%,8.4,2019
Atlanta,DeKalb,33.798836,-84.325782,Emory University,=84,43.6,56.4,63.6,39.7,56.0,GA,58 : 42,20%,4.2,2019
Houston,Harris,29.716218,-95.404977,Rice University,86,44.6,75.1,63.5,40.4,50.9,TX,42 : 58,28%,8.9,2019
East Lansing,Ingham,42.72476,-84.473639,Michigan State University,=93,37.9,62.9,62.8,54.2,56.5,MI,51 : 49,17%,17.0,2019
Hanover,Grafton,43.705524,-72.288842,Dartmouth College,=99,41.3,40.1,62.4,38.9,59.6,NH,48 : 52,15%,6.7,2019
Washington,District of Columbia,38.908809,-77.073463,Georgetown University,109,64.6,46.9,60.7,36.0,56.0,DC,54 : 46,17%,8.5,2019
Boulder,Boulder,40.004415,-105.267061,University of Colorado Boulder,=114,39.2,46.4,59.9,43.2,45.0,CO,44 : 56,12%,15.5,2019
Nashville,Davidson,36.14443,-86.804875,Vanderbilt University,=121,47.0,41.9,59.1,39.4,46.5,TN,54 : 46,14%,3.1,2019
Cleveland,Cuyahoga,41.504095,-81.604893,Case Western Reserve University,=132,40.8,51.5,58.5,36.2,49.2,OH,49 : 51,23%,7.8,2019
Medford,Middlesex,42.406004,-71.120641,Tufts University,152,40.5,55.9,56.8,32.0,48.8,MA,55 : 45,19%,10.1,2019
Gainesville,Alachua,29.638248,-82.361195,University of Florida,=156,62.6,39.9,56.5,51.2,55.3,FL,54 : 46,10%,17.5,2019
Tucson,Pima,32.232866,-110.950086,University of Arizona,=159,49.4,44.8,56.2,43.0,43.4,AZ,52 : 48,9%,13.3,2019
Rochester,Monroe,43.126397,-77.631202,University of Rochester,=163,41.5,63.7,55.9,31.0,45.1,NY,49 : 51,29%,4.2,2019
Notre Dame,St. Joseph,41.699587,-86.237075,University of Notre Dame,173,37.9,53.5,55.3,41.9,50.4,IN,45 : 55,12%,13.7,2019
Birmingham,Jefferson,33.50223,-86.80917,University of Alabama at Birmingham,179,65.9,36.6,54.8,32.9,39.4,AL,62 : 38,6%,15.3,2019
Washington,District of Columbia,38.899096,-77.046277,George Washington University,=181,34.5,53.5,54.5,30.6,49.9,DC,58 : 42,17%,13.2,2019
Waltham,Middlesex,42.364947,-71.254716,Brandeis University,201–250,34.6,52.4,49.5–53.0,23.6,28.5,MA,55 : 45,26%,12.5,2019
Buffalo,Erie,42.955292,-78.819555,University at Buffalo,201–250,43.3,63.8,49.5–53.0,34.6,40.7,NY,45 : 55,17%,17.1,2019
Iowa City,Johnson,41.660695,-91.535698,University of Iowa,201–250,54.6,37.1,49.5–53.0,33.8,42.9,IA,52 : 48,13%,12.3,2019
Coral Gables,Miami-Dade,25.720406,-80.27645,University of Miami,201–250,39.3,60.4,49.5–53.0,25.2,41.6,FL,51 : 49,16%,5.9,2019
Salt Lake City,Salt Lake,40.762484,-111.846044,University of Utah,201–250,40.7,33.4,49.5–53.0,33.7,36.5,UT,45 : 55,9%,14.1,2019
Worcester,Worcester,42.250778,-71.823632,Clark University,251–300,34.3,58.9,46.4–49.4,25.5,25.1,MA,60 : 40,25%,11.9,2019
Golden,Jefferson,39.749092,-105.222907,Colorado School of Mines,251–300,50.5,42.7,46.4–49.4,27.8,32.9,CO,28 : 72,12%,16.7,2019
Newark,New Castle,39.678028,-75.752833,University of Delaware,251–300,91.5,46.2,46.4–49.4,37.4,28.5,DE,57 : 43,10%,16.9,2019
Tallahassee,Leon,30.443222,-84.301554,Florida State University,251–300,39.5,43.0,46.4–49.4,40.0,38.4,FL,56 : 44,7%,24.5,2019
Stony Brook,Suffolk,40.91554,-73.12112,Stony Brook University,251–300,35.7,70.2,46.4–49.4,22.4,34.2,NY,49 : 51,23%,10.6,2019
Syracuse,Onondaga,43.039891,-76.13267,Syracuse University,251–300,40.6,48.3,46.4–49.4,28.3,32.0,NY,53 : 47,20%,16.0,2019
Blacksburg,Montgomery,37.229906,-80.419988,Virginia Polytechnic Institute and State University,251–300,48.2,52.4,46.4–49.4,39.8,34.8,VA,43 : 57,14%,18.5,2019
Winston Salem,Forsyth,36.135301,-80.279004,Wake Forest University,251–300,44.1,29.3,46.4–49.4,18.4,41.3,NC,52 : 48,7%,4.0,2019
Fairbanks,Fairbanks North Star,64.855573,-147.825921,University of Alaska Fairbanks,301–350,44.9,53.4,44.0–46.3,24.9,27.9,AK,50 : 50,6%,8.4,2019
Washington,District of Columbia,38.936981,-77.088785,American University,301–350,39.4,33.5,44.0–46.3,21.7,43.1,DC,65 : 35,13%,10.8,2019
Chestnut Hill,Middlesex,42.336203,-71.169242,Boston College,301–350,45.2,57.6,44.0–46.3,25.3,36.1,MA,55 : 45,14%,15.9,2019
Storrs,Tolland,41.807658,-72.256961,University of Connecticut,301–350,37.1,46.1,44.0–46.3,29.8,36.7,CT,53 : 47,8%,14.6,2019
Denver,Denver,39.681439,-104.961532,University of Denver,301–350,35.3,28.0,44.0–46.3,21.5,40.2,CO,57 : 43,10%,13.2,2019
Fairfax,Fairfax,38.83088,-77.30794,George Mason University,301–350,35.3,44.1,44.0–46.3,25.8,29.0,VA,54 : 46,9%,17.7,2019
Houston,Harris,29.719988,-95.344851,University of Houston,301–350,38.3,42.1,44.0–46.3,32.4,38.8,TX,50 : 50,10%,43.6,2019
Corvallis,Benton,44.563109,-123.278711,Oregon State University,301–350,38.1,51.1,44.0–46.3,30.4,31.3,OR,46 : 54,11%,16.2,2019
Pullman,Whitman,46.730448,-117.158168,Washington State University,301–350,51.5,48.3,44.0–46.3,28.4,31.3,WA,52 : 48,8%,19.3,2019
Detroit,Wayne,42.35861,-83.072864,Wayne State University,301–350,43.9,38.1,44.0–46.3,17.7,33.7,MI,55 : 45,9%,11.0,2019
Philadelphia,Philadelphia,39.954855,-75.188745,Drexel University,351–400,40.6,50.7,41.7–43.9,19.3,36.2,PA,49 : 51,18%,10.5,2019
Hempstead,Nassau,40.715959,-73.60078,Hofstra University,351–400,34.0,29.4,41.7–43.9,12.7,37.9,NY,57 : 43,10%,13.6,2019
Ames,Story,42.025303,-93.65024,Iowa State University,351–400,49.5,55.5,41.7–43.9,32.2,28.8,IA,44 : 56,12%,18.3,2019
Lawrence,Douglas,38.956474,-95.258651,University of Kansas,351–400,41.9,33.6,41.7–43.9,24.5,37.2,KS,51 : 49,9%,9.9,2019
Lincoln,Lancaster,40.821787,-96.700663,University of Nebraska-Lincoln,351–400,39.5,54.7,41.7–43.9,26.2,32.2,NE,48 : 52,12%,16.6,2019
Troy,Rensselaer,42.728983,-73.678768,Rensselaer Polytechnic Institute,351–400,68.3,49.9,41.7–43.9,30.1,27.9,NY,32 : 68,19%,15.4,2019
Chicago,Cook,41.873493,-87.669466,Rush University,351–400,39.5,20.0,41.7–43.9,10.6,34.6,IL,74 : 26,1%,1.4,2019
Philadelphia,Philadelphia,39.980712,-75.158452,Temple University,351–400,37.1,37.5,41.7–43.9,16.3,34.0,PA,52 : 48,9%,9.1,2019
Burlington,Chittenden,44.479262,-73.198128,University of Vermont,351–400,47.1,28.7,41.7–43.9,19.9,27.9,VT,56 : 44,5%,8.7,2019
Tuscaloosa,Tuscaloosa,33.2144,-87.545766,The University of Alabama,401–500,34.8,29.0,37.1–41.6,21.1,26.1,AL,55 : 45,5%,22.3,2019
Huntsville,Madison,34.722818,-86.63842,University of Alabama in Huntsville,401–500,68.2,44.8,37.1–41.6,21.3,20.7,AL,44 : 56,9%,14.1,2019
Miami,Miami-Dade,25.757111,-80.377591,Florida International University,401–500,37.0,38.3,37.1–41.6,21.8,28.9,FL,56 : 44,8%,23.9,2019
Athens,Clarke,33.937727,-83.37143,University of Georgia,401–500,36.6,43.9,37.1–41.6,32.1,33.6,GA,57 : 43,8%,16.6,2019
Atlanta,Fulton,33.7527,-84.38667,Georgia State University,401–500,34.4,38.1,37.1–41.6,25.0,32.0,GA,59 : 41,5%,16.1,2019
Lexington,Fayette,38.028761,-84.502517,University of Kentucky,401–500,39.1,36.6,37.1–41.6,28.9,27.4,KY,55 : 45,5%,14.5,2019
Omaha,Douglas,41.255088,-95.976346,University of Nebraska Medical Center,401–500,37.8,43.8,37.1–41.6,11.6,37.5,NE,67 : 33,8%,2.3,2019
Socorro,Socorro,34.06619,-106.907701,New Mexico Institute of Mining and Technology,401–500,57.7,60.6,37.1–41.6,10.0,23.6,NM,28 : 72,9%,6.3,2019
Flagstaff,Coconino,35.188875,-111.655559,Northern Arizona University,401–500,34.2,30.0,37.1–41.6,13.3,18.6,AZ,59 : 41,5%,26.6,2019
Columbia,Richland,33.996677,-81.026916,University of South Carolina-Columbia,401–500,35.1,42.8,37.1–41.6,26.5,32.9,SC,55 : 45,6%,16.2,2019
Milwaukee,Milwaukee,43.076848,-87.880488,University of Wisconsin-Milwaukee,401–500,35.3,31.8,37.1–41.6,20.9,19.6,WI,53 : 47,6%,19.1,2019
Omaha,Douglas,41.265354,-95.9478,Creighton University,501–600,36.2,31.7,33.5–37.0,11.4,40.5,NE,62 : 38,10%,11.5,2019
Moscow,Latah,46.726894,-117.024296,University of Idaho,501–600,36.0,44.2,33.5–37.0,20.3,31.8,ID,48 : 52,8%,17.2,2019
Bethlehem,Northampton,40.606626,-75.377095,Lehigh University,501–600,38.4,42.2,33.5–37.0,19.9,28.1,PA,44 : 56,17%,11.2,2019
Rolla,Phelps,37.955853,-91.7759,Missouri University of Science and Technology,501–600,53.8,61.0,33.5–37.0,23.8,23.7,MO,23 : 77,15%,22.7,2019
Bozeman,Gallatin,45.666829,-111.049918,Montana State University,501–600,48.5,28.3,33.5–37.0,18.5,17.7,MT,46 : 54,4%,18.8,2019
Newark,Essex,40.741997,-74.177113,New Jersey Institute of Technology,501–600,35.9,58.1,33.5–37.0,15.4,18.0,NJ,24 : 76,19%,19.8,2019
San Diego,San Diego,32.77525,-117.071228,San Diego State University,501–600,34.8,32.1,33.5–37.0,23.4,23.4,CA,55 : 45,8%,30.3,2019
Hoboken,Hudson,40.744776,-74.025334,Stevens Institute of Technology,501–600,36.4,65.9,33.5–37.0,15.4,20.8,NJ,29 : 71,35%,16.2,2019
San Antonio,Bexar,29.582418,-98.621386,The University of Texas at San Antonio,501–600,35.6,35.8,33.5–37.0,19.4,17.2,TX,50 : 50,5%,25.1,2019
Toledo,Lucas,41.657246,-83.615936,University of Toledo,501–600,43.8,44.7,33.5–37.0,14.3,36.0,OH,50 : 50,11%,15.2,2019
Worcester,Worcester,42.274953,-71.807916,Worcester Polytechnic Institute,501–600,35.0,55.1,33.5–37.0,17.5,20.9,MA,33 : 67,22%,12.6,2019
Fayetteville,Washington,36.065642,-94.177852,University of Arkansas,601–800,39.1,31.2,26.0–33.4,20.7,25.2,AR,52 : 48,6%,20.3,2019
Auburn University,Lee,32.600201,-85.492409,Auburn University,601–800,40.7,36.8,26.0–33.4,20.8,32.8,AL,50 : 50,6%,18.2,2019
Waco,McLennan,31.54615,-97.118453,Baylor University,601–800,35.1,28.6,26.0–33.4,17.8,31.1,TX,57 : 43,5%,16.6,2019
Orlando,Orange,28.602159,-81.200889,University of Central Florida,601–800,43.3,30.9,26.0–33.4,26.8,27.8,FL,56 : 44,3%,36.2,2019
Dayton,Montgomery,39.740464,-84.179789,University of Dayton,601–800,39.6,31.8,26.0–33.4,23.3,30.5,OH,52 : 48,13%,13.9,2019
Bronx,Bronx,40.861412,-73.889899,Fordham University,601–800,34.7,36.9,26.0–33.4,23.2,41.0,NY,59 : 41,15%,12.5,2019
Manhattan,Riley,39.188616,-96.581077,Kansas State University,601–800,41.3,45.2,26.0–33.4,19.8,24.0,KS,50 : 50,9%,14.6,2019
Ruston,Lincoln,32.525518,-92.64964,Louisiana Tech University,601–800,34.5,33.6,26.0–33.4,10.5,17.7,LA,45 : 55,4%,27.4,2019
Milwaukee,Milwaukee,43.037183,-87.931088,Marquette University,601–800,36.2,23.7,26.0–33.4,14.0,36.1,WI,53 : 47,5%,12.3,2019
Mississippi State,Oktibbeha,33.451697,-88.790826,Mississippi State University,601–800,38.0,24.2,26.0–33.4,16.1,21.0,MS,51 : 49,3%,18.6,2019
Greensboro,Guilford,36.067503,-79.809844,University of North Carolina at Greensboro,601–800,34.9,19.5,26.0–33.4,20.6,21.2,NC,66 : 34,3%,24.9,2019
Norfolk,Norfolk,36.884919,-76.309653,Old Dominion University,601–800,34.0,29.9,26.0–33.4,19.2,22.8,VA,54 : 46,3%,19.3,2019
Portland,Multnomah,45.511698,-122.684197,Portland State University,601–800,34.6,31.8,26.0–33.4,21.7,19.8,OR,54 : 46,9%,18.4,2019
Rochester,Monroe,43.084436,-77.673854,Rochester Institute of Technology,601–800,36.1,39.9,26.0–33.4,17.2,19.6,NY,34 : 66,18%,16.2,2019
San Diego,San Diego,32.77142,-117.188721,University of San Diego,601–800,39.5,25.0,26.0–33.4,18.1,37.4,CA,56 : 44,8%,13.0,2019
Mobile,Mobile,30.695081,-88.18189,University of South Alabama,601–800,35.8,25.1,26.0–33.4,10.0,31.4,AL,61 : 39,6%,15.0,2019
Vermillion,Clay,42.784676,-96.926533,University of South Dakota,601–800,38.6,24.4,26.0–33.4,14.5,30.4,SD,61 : 39,3%,35.3,2019
Lubbock,Lubbock,33.580451,-101.877129,Texas Tech University,601–800,36.7,44.6,26.0–33.4,20.7,30.5,TX,46 : 54,9%,22.2,2019
Bellingham,Whatcom,48.737379,-122.485016,Western Washington University,601–800,34.0,22.2,26.0–33.4,10.2,14.7,WA,57 : 43,1%,17.7,2019
Morgantown,Monongalia,39.63468,-79.953926,West Virginia University,601–800,34.0,39.4,26.0–33.4,10.2,18.9,WV,47 : 53,8%,16.8,2019
Greenville,Pitt,35.606347,-77.366199,East Carolina University,801–1000,38.9,27.7,19.0–25.9,11.5,20.9,NC,59 : 41,2%,14.1,2019
Boca Raton,Palm Beach,26.372421,-80.102978,Florida Atlantic University,801–1000,39.4,43.9,19.0–25.9,14.6,17.5,FL,60 : 40,11%,18.7,2019
Melbourne,Brevard,28.064503,-80.624628,Florida Institute of Technology,801–1000,36.8,58.6,19.0–25.9,13.5,24.6,FL,34 : 66,36%,13.8,2019
Rochester Hills,Oakland,42.674569,-83.216414,Oakland University,801–1000,34.9,26.8,19.0–25.9,12.7,21.0,MI,58 : 42,3%,19.3,2019
Hattiesburg,Forrest,31.327499,-89.33791,University of Southern Mississippi,1001+,38.3,26.4,9.8–18.9,11.3,19.8,MS,64 : 36,4%,18.5,2019
Tempe,Maricopa,33.4172,-111.9355,Arizona State University (Tempe),=123,38.6,58.6,59.0,47.4,42.7,AZ,43 : 57,20%,20.8,2019
Fort Collins,Larimer,39.7448,-104.9887,"Colorado State University, Fort Collins",401–500,39.1,38.4,37.1–41.6,25.7,29.0,CO,53 : 47,6%,16.5,2019
New York,New York,40.8075,-73.9619,Columbia University,16,44.8,79.0,87.2,83.1,85.4,NY,,37%,6.0,2019
Atlanta,Fulton,33.7756,-84.3963,Georgia Institute of Technology,34,62.2,77.1,77.5,76.1,62.5,GA,32 : 68,27%,21.5,2019
Bloomington,Monroe,39.1678,-86.5235,Indiana University,=146,52.8,52.6,57.3,45.6,49.4,IN,52 : 48,16%,13.8,2019
Kent,Portage,41.1516,-81.337,Kent State University,501–600,34.1,40.8,33.5–37.0,17.5,21.3,TX,59 : 41,10%,19.3,2019
Baton Rouge,East Baton Rouge,30.4127,-91.1807,Louisiana State University,501–600,34.0,34.5,33.5–37.0,22.4,33.0,LA,52 : 48,6%,20.5,2019
Las Cruces,Doña Ana,32.2829,-106.7478,New Mexico State University (Main campus),601–800,38.6,35.5,26.0–33.4,14.3,21.8,NY,53 : 47,8%,17.3,2019
Raleigh,Wake,35.7851,-78.6744,North Carolina State University,251–300,43.4,55.9,46.4–49.4,34.3,37.3,NC,45 : 55,14%,12.8,2019
Boston,Suffolk,42.3395,-71.0878,"Northeastern University, US",=184,37.2,74.0,54.4,26.5,37.0,MA,49 : 51,33%,13.8,2019
Columbus,Franklin,39.9995,-83.0082,Ohio State University (Main campus),=71,52.9,58.3,65.3,54.9,56.7,OH,49 : 51,12%,12.8,2019
Stillwater,Payne,36.123,-97.0696,Oklahoma State University,501–600,37.0,42.9,33.5–37.0,19.6,26.0,OK,49 : 51,7%,15.6,2019
Portland,Multnomah,45.4988,-122.686,Oregon Health and Science University,251–300,45.0,25.6,46.4–49.4,16.5,35.1,OR,65 : 35,3%,1.0,2019
West Lafayette,Tippecanoe,40.4281,-86.9143,Purdue University West Lafayette,64,64.6,71.8,67.4,68.6,61.6,IN,42 : 58,23%,17.0,2019
New Brunswick,Middlesex,40.4995,-74.447,Rutgers University – New Brunswick,=176,39.8,50.4,54.9,44.5,45.4,NJ,52 : 48,16%,11.2,2019
Albany,Albany,42.6869,-73.8249,SUNY University at Albany,401–500,37.5,48.6,37.1–41.6,35.2,21.7,NY,52 : 48,10%,16.2,2019
St. Louis,St. Louis City,38.6365,-90.2333,Saint Louis University,501–600,36.3,28.5,33.5–37.0,14.9,36.6,MO,59 : 41,7%,7.3,2019
College Station,Brazos,30.6107,-96.3491,Texas A&M University,=171,47.5,53.4,55.4,54.6,51.6,TX,48 : 52,9%,25.8,2019
