city,county,latitude,longitude,name,rank,scores_industry_income,scores_international_outlook,scores_overall,scores_research,scores_teaching,state,stats_female_male_ratio,stats_pc_intl_students,stats_student_staff_ratio,year
Los Angeles,Los Angeles,34.0688,-118.4439,"University of California, Los Angeles",15,48.6,59.5,85.7,88.1,80.7,CA,53 : 47,17%,9.6,2018
Riverside,Riverside,33.9745,-117.3287,"University of California, Riverside",=198,37.4,63.9,51.7,30.9,30.0,CA,51 : 49,14%,20.7,2018
San Diego,San Diego,32.881,-117.2377,"University of California, San Diego",31,96.5,51.9,78.7,79.8,62.9,CA,46 : 54,17%,12.8,2018
Santa Barbara,Santa Barbara,34.4123,-119.8514,"University of California, Santa Barbara",53,82.0,65.4,70.0,61.5,50.0,CA,52 : 48,14%,28.1,2018
Santa Cruz,Santa Cruz,36.999,-122.0607,"University of California, Santa Cruz",=162,38.2,51.6,54.8,35.0,31.5,CA,52 : 48,4%,23.0,2018
Denver,Denver,39.7452,-104.8393,University of Colorado Denver/Anschutz Medical Campus,251–300,42.0,29.0,45.2–48.2,18.0,30.2,CO,55 : 45,8%,5.0,2018
Honolulu,Honolulu,21.2972,-157.8162,University of Hawai’i at Mānoa,201–250,49.9,65.9,48.3–51.6,37.1,37.3,HI,56 : 44,13%,11.0,2018
Chicago,Cook,41.8718,-87.6505,University of Illinois Chicago,251–300,42.1,56.2,45.2–48.2,31.6,42.1,IL,52 : 48,19%,11.4,2018
Baltimore,Baltimore,39.2567,-76.7115,"University of Maryland, Baltimore County",401–500,33.4,32.8,35.0–39.9,17.0,23.6,MD,46 : 54,8%,18.8,2018
College Park,Prince George's,38.9886,-76.9396,"University of Maryland, College Park",69,38.4,39.0,65.7,63.0,49.6,MD,48 : 52,10%,16.5,2018
Amherst,Hampshire,42.3886,-72.5293,University of Massachusetts,191,51.0,54.8,52.6,32.2,36.3,MA,49 : 51,14%,13.3,2018
Minneapolis,Hennepin,44.9778,-93.2353,University of Minnesota,=56,90.4,37.7,69.0,67.9,57.6,MN,51 : 49,11%,17.4,2018
Missoula,Missoula,46.861,-113.9829,University of Montana,401–500,33.6,25.6,35.0–39.9,17.7,34.6,MT,56 : 44,3%,16.6,2018
Pittsburgh,Allegheny,40.4426,-79.9541,University of Pittsburgh-Pittsburgh campus,=100,39.9,36.8,60.5,48.7,45.7,PA,52 : 48,10%,5.9,2018
Arlington,Tarrant,32.7291,-97.1151,University of Texas at Arlington,501–600,37.7,41.3,30.7–34.9,16.4,20.8,TX,56 : 44,14%,25.3,2018
Austin,Travis,30.2838,-97.7364,University of Texas at Austin,49,48.2,36.7,71.4,68.3,60.9,TX,51 : 49,10%,17.1,2018
Richardson,Dallas,32.9894,-96.7487,University of Texas at Dallas,201–250,41.5,57.7,48.3–51.6,29.4,25.7,TX,43 : 57,25%,25.4,2018
El Paso,El Paso,31.7717,-106.5035,University of Texas at El Paso,601–800,31.7,35.7,21.5–30.6,20.6,20.9,TX,53 : 47,7%,23.8,2018
Charlottesville,Albemarle,38.0339,-78.5118,University of Virginia (Main campus),=113,40.6,46.5,59.2,40.7,52.4,VA,52 : 48,12%,9.7,2018
Seattle,King,47.6557,-122.3108,University of Washington,=25,47.3,56.5,79.4,79.9,67.9,WA,52 : 48,16%,11.4,2018
Williamsburg,James City,37.2732,-76.7196,William & Mary,251–300,32.6,32.2,45.2–48.2,18.2,44.9,VA,55 : 45,9%,11.8,2018
Pasadena,Los Angeles,34.139181,-118.125567,California Institute of Technology,2,90.8,63.4,94.3,95.7,95.5,CA,31 : 69,27%,6.7,2017
Stanford,Santa Clara,37.432974,-122.175045,Stanford University,3,60.9,76.5,93.8,95.9,92.6,CA,42 : 58,22%,7.7,2017
Cambridge,Middlesex,42.360095,-71.092115,Massachusetts Institute of Technology,5,88.4,85.6,93.4,92.3,90.3,MA,37 : 63,33%,8.8,2017
Cambridge,Middlesex,42.374172,-71.118234,Harvard University,6,47.3,77.9,92.7,98.3,87.5,MA,,25%,8.8,2017
Princeton,Mercer,40.347141,-74.657698,Princeton University,7,49.9,77.2,90.2,88.4,89.5,NJ,45 : 55,23%,8.4,2017
New Haven,New Haven,41.312308,-72.922511,Yale University,12,44.5,64.3,88.2,87.8,88.5,CT,49 : 51,21%,4.4,2017
Philadelphia,Philadelphia,39.951002,-75.193618,University of Pennsylvania,13,49.9,50.1,87.1,88.9,85.9,PA,51 : 49,20%,6.5,2017
Baltimore,Baltimore,39.329808,-76.620723,Johns Hopkins University,17,100.0,71.1,85.9,84.3,77.4,MD,51 : 49,24%,3.5,2017
Durham,Durham,36.002344,-78.938597,Duke University,18,100.0,58.2,84.7,80.0,80.7,NC,49 : 51,17%,4.8,2017
Ithaca,Tompkins,42.448713,-76.476535,Cornell University,19,36.0,62.2,84.6,86.5,79.7,NY,49 : 51,19%,9.9,2017
Evanston,Cook,42.058377,-87.673653,Northwestern University,20,85.8,56.1,83.7,85.0,75.8,IL,48 : 52,16%,14.0,2017
Ann Arbor,Washtenaw,42.27803,-83.736564,University of Michigan-Ann Arbor,21,43.9,54.6,83.6,86.1,79.4,MI,48 : 52,16%,8.8,2017
Pittsburgh,Allegheny,40.443598,-79.943485,Carnegie Mellon University,23,51.8,59.6,81.8,84.0,70.2,PA,38 : 62,38%,13.2,2017
New York,New York,40.729452,-73.997264,New York University,32,33.6,54.3,76.7,68.8,75.1,NY,55 : 45,25%,6.6,2017
Champaign,Champaign,40.108312,-88.228482,University of Illinois at Urbana-Champaign,=36,50.3,49.7,75.9,81.4,65.6,IL,46 : 54,22%,18.3,2017
Madison,Dane,43.073858,-89.405356,University of Wisconsin-Madison,45,47.4,42.0,72.6,71.4,68.2,WI,51 : 49,12%,11.0,2017
Providence,Providence,41.826853,-71.402925,Brown University,=51,33.9,58.0,70.4,54.4,66.3,RI,,20%,10.2,2017
Chapel Hill,Orange,35.912165,-79.050969,University of North Carolina at Chapel Hill,56,41.0,40.0,69.3,59.6,61.9,NC,57 : 43,8%,7.5,2017
Saint Louis,St. Louis,38.648125,-90.311639,Washington University in St Louis,=57,36.9,45.5,69.2,56.2,60.7,MO,,17%,5.7,2017
Los Angeles,Los Angeles,34.021058,-118.283858,University of Southern California,=60,39.4,62.7,67.2,60.0,50.5,CA,52 : 48,23%,13.6,2017
Boston,Suffolk,42.349581,-71.09984,Boston University,64,34.4,54.6,66.9,48.5,60.2,MA,59 : 41,19%,8.4,2017
Hanover,Grafton,43.705524,-72.288842,Dartmouth College,=82,39.9,37.9,62.0,41.1,58.6,NH,47 : 53,15%,6.7,2017
Atlanta,DeKalb,33.798836,-84.325782,Emory University,=82,43.2,52.7,62.0,39.7,52.9,GA,57 : 43,19%,4.4,2017
Houston,Harris,29.716218,-95.404977,Rice University,87,43.4,69.5,61.7,38.7,46.9,TX,43 : 57,27%,9.0,2017
East Lansing,Ingham,42.72476,-84.473639,Michigan State University,101,38.5,58.8,59.9,48.9,51.6,MI,51 : 49,16%,15.8,2017
Washington,District of Columbia,38.908809,-77.073463,Georgetown University,=104,74.4,47.3,59.6,39.3,56.7,DC,54 : 46,15%,8.6,2017
Nashville,Davidson,36.14443,-86.804875,Vanderbilt University,108,73.5,29.8,59.3,37.3,50.1,TN,52 : 48,9%,3.1,2017
Boulder,Boulder,40.004415,-105.267061,University of Colorado Boulder,=116,38.0,39.4,58.6,43.7,42.5,CO,44 : 56,9%,16.3,2017
Cleveland,Cuyahoga,41.504095,-81.604893,Case Western Reserve University,=126,36.8,42.0,57.9,38.9,50.2,OH,48 : 52,18%,6.6,2017
Gainesville,Alachua,29.638248,-82.361195,University of Florida,134,65.7,35.2,56.6,48.1,53.6,FL,54 : 46,9%,17.0,2017
Medford,Middlesex,42.406004,-71.120641,Tufts University,=135,58.5,50.5,56.5,34.3,48.1,MA,54 : 46,15%,10.1,2017
Notre Dame,St. Joseph,41.699587,-86.237075,University of Notre Dame,143,37.4,48.2,55.9,40.7,50.2,IN,45 : 55,10%,13.5,2017
Rochester,Monroe,43.126397,-77.631202,University of Rochester,=151,38.9,58.9,54.9,32.4,43.4,NY,51 : 49,28%,4.5,2017
Tucson,Pima,32.232866,-110.950086,University of Arizona,=156,35.6,41.7,54.5,42.2,42.9,AZ,52 : 48,9%,12.8,2017
Coral Gables,Miami-Dade,25.720406,-80.27645,University of Miami,=182,38.1,65.8,51.7,17.1,43.1,FL,51 : 49,15%,6.0,2017
Waltham,Middlesex,42.364947,-71.254716,Brandeis University,=198,33.8,49.2,50.8,24.6,29.8,MA,55 : 45,23%,13.1,2017
Chestnut Hill,Middlesex,42.336203,-71.169242,Boston College,201-250,43.8,60.2,46.3—50.4,19.3,47.3,MA,55 : 45,19%,16.5,2017
Newark,New Castle,39.678028,-75.752833,University of Delaware,201-250,92.5,44.0,46.3—50.4,36.8,26.9,DE,56 : 44,10%,16.2,2017
Tallahassee,Leon,30.443222,-84.301554,Florida State University,201-250,34.2,45.7,46.3—50.4,39.5,40.8,FL,55 : 45,7%,30.2,2017
Washington,District of Columbia,38.899096,-77.046277,George Washington University,201-250,32.9,48.0,46.3—50.4,27.7,47.1,DC,57 : 43,15%,12.4,2017
Iowa City,Johnson,41.660695,-91.535698,University of Iowa,201-250,53.8,34.6,46.3—50.4,27.1,40.9,IA,52 : 48,12%,11.6,2017
Stony Brook,Suffolk,40.91554,-73.12112,Stony Brook University,201-250,35.6,55.6,46.3—50.4,24.5,34.7,NY,49 : 51,24%,10.9,2017
Salt Lake City,Salt Lake,40.762484,-111.846044,University of Utah,201-250,47.8,32.5,46.3—50.4,30.5,37.9,UT,45 : 55,10%,14.8,2017
Winston Salem,Forsyth,36.135301,-80.279004,Wake Forest University,201-250,41.3,26.1,46.3—50.4,20.3,37.8,NC,50 : 50,5%,4.5,2017
Buffalo,Erie,42.955292,-78.819555,University at Buffalo,251-300,42.8,64.6,43.5—46.2,29.0,38.0,NY,46 : 54,21%,18.8,2017
Golden,Jefferson,39.749092,-105.222907,Colorado School of Mines,251-300,74.9,39.9,43.5—46.2,27.8,32.6,CO,27 : 73,11%,17.7,2017
Troy,Rensselaer,42.728983,-73.678768,Rensselaer Polytechnic Institute,251-300,79.1,43.1,43.5—46.2,33.5,33.6,NY,31 : 69,17%,15.5,2017
Chicago,Cook,41.873493,-87.669466,Rush University,251-300,44.0,22.3,43.5—46.2,13.6,38.4,IL,71 : 29,3%,2.2,2017
Syracuse,Onondaga,43.039891,-76.13267,Syracuse University,251-300,36.4,41.4,43.5—46.2,25.9,32.9,NY,54 : 46,17%,16.1,2017
Blacksburg,Montgomery,37.229906,-80.419988,Virginia Polytechnic Institute and State University,251-300,44.1,31.4,43.5—46.2,39.9,34.9,VA,42 : 58,10%,18.1,2017
Fairbanks,Fairbanks North Star,64.855573,-147.825921,University of Alaska Fairbanks,301-350,50.5,55.0,40.7—43.3,24.0,28.3,AK,52 : 48,7%,8.4,2017
Worcester,Worcester,42.250778,-71.823632,Clark University,301-350,32.8,59.0,40.7—43.3,8.0,24.4,MA,57 : 43,25%,11.7,2017
Storrs,Tolland,41.807658,-72.256961,University of Connecticut,301-350,35.1,40.6,40.7—43.3,28.2,37.0,CT,51 : 49,7%,12.6,2017
Denver,Denver,39.681439,-104.961532,University of Denver,301-350,34.9,28.7,40.7—43.3,23.6,37.7,CO,57 : 43,10%,13.3,2017
Fairfax,Fairfax,38.83088,-77.30794,George Mason University,301-350,33.4,38.7,40.7—43.3,24.6,28.1,VA,54 : 46,8%,17.4,2017
Athens,Clarke,33.937727,-83.37143,University of Georgia,301-350,34.9,41.7,40.7—43.3,35.0,33.0,GA,57 : 43,7%,19.5,2017
Lincoln,Lancaster,40.821787,-96.700663,University of Nebraska-Lincoln,301-350,38.5,48.0,40.7—43.3,29.1,31.2,NE,47 : 53,10%,16.2,2017
Eugene,Lane,44.044515,-123.07398,University of Oregon,301-350,33.3,35.5,40.7—43.3,24.5,24.8,OR,52 : 48,13%,19.8,2017
Corvallis,Benton,44.563109,-123.278711,Oregon State University,301-350,36.0,46.0,40.7—43.3,28.2,29.3,OR,46 : 54,10%,16.3,2017
Philadelphia,Philadelphia,39.980712,-75.158452,Temple University,301-350,37.4,31.1,40.7—43.3,21.6,37.2,PA,52 : 48,6%,13.3,2017
Philadelphia,Philadelphia,39.954855,-75.188745,Drexel University,351-400,37.9,47.8,37.6—40.6,16.0,32.6,PA,49 : 51,18%,11.0,2017
Houston,Harris,29.719988,-95.344851,University of Houston,351-400,40.6,36.8,37.6—40.6,29.4,35.4,TX,50 : 50,9%,42.5,2017
Ames,Story,42.025303,-93.65024,Iowa State University,351-400,47.5,37.9,37.6—40.6,25.3,31.2,IA,46 : 54,12%,18.7,2017
Lawrence,Douglas,38.956474,-95.258651,University of Kansas,351-400,38.3,33.7,37.6—40.6,24.5,36.7,KS,51 : 49,9%,7.6,2017
Lexington,Fayette,38.028761,-84.502517,University of Kentucky,351-400,39.0,38.2,37.6—40.6,29.3,36.6,KY,53 : 47,6%,19.0,2017
San Antonio,Bexar,29.582418,-98.621386,The University of Texas at San Antonio,351-400,32.4,32.6,37.6—40.6,16.2,17.3,TX,48 : 52,7%,21.4,2017
Pullman,Whitman,46.730448,-117.158168,Washington State University,351-400,56.9,43.3,37.6—40.6,29.6,29.6,WA,51 : 49,8%,20.1,2017
Detroit,Wayne,42.35861,-83.072864,Wayne State University,351-400,42.2,33.3,37.6—40.6,15.7,33.0,MI,57 : 43,8%,10.7,2017
Washington,District of Columbia,38.936981,-77.088785,American University,401-500,37.8,30.1,32.6—37.5,21.3,40.5,DC,61 : 39,12%,12.0,2017
Miami,Miami-Dade,25.757111,-80.377591,Florida International University,401-500,35.2,35.3,32.6—37.5,20.1,25.4,FL,56 : 44,7%,25.8,2017
Atlanta,Fulton,33.7527,-84.38667,Georgia State University,401-500,32.3,30.5,32.6—37.5,23.7,28.1,GA,58 : 42,5%,19.2,2017
Bethlehem,Northampton,40.606626,-75.377095,Lehigh University,401-500,38.0,39.1,32.6—37.5,18.5,24.9,PA,44 : 56,16%,11.3,2017
Flagstaff,Coconino,35.188875,-111.655559,Northern Arizona University,401-500,32.6,26.9,32.6—37.5,11.2,18.8,AZ,66 : 34,5%,24.8,2017
San Diego,San Diego,32.77525,-117.071228,San Diego State University,401-500,33.2,27.3,32.6—37.5,28.8,20.9,CA,56 : 44,6%,31.8,2017
Hoboken,Hudson,40.744776,-74.025334,Stevens Institute of Technology,401-500,33.7,77.3,32.6—37.5,18.3,21.8,NJ,29 : 71,34%,18.3,2017
Fayetteville,Washington,36.065642,-94.177852,University of Arkansas,501-600,39.1,27.9,27.6—32.5,19.2,24.4,AR,51 : 49,5%,20.3,2017
Omaha,Douglas,41.265354,-95.9478,Creighton University,501-600,35.7,27.8,27.6—32.5,9.7,42.3,NE,57 : 43,9%,9.8,2017
Manhattan,Riley,39.188616,-96.581077,Kansas State University,501-600,44.4,43.9,27.6—32.5,17.9,25.0,KS,49 : 51,10%,14.3,2017
Rolla,Phelps,37.955853,-91.7759,Missouri University of Science and Technology,501-600,45.4,65.3,27.6—32.5,24.7,20.0,MO,23 : 77,17%,23.0,2017
Bozeman,Gallatin,45.666829,-111.049918,Montana State University,501-600,43.3,26.2,27.6—32.5,20.7,18.7,MT,45 : 55,5%,18.6,2017
Omaha,Douglas,41.255088,-95.976346,University of Nebraska Medical Center,501-600,37.1,36.8,27.6—32.5,12.9,36.4,NE,66 : 34,8%,2.5,2017
Newark,Essex,40.741997,-74.177113,New Jersey Institute of Technology,501-600,47.6,55.1,27.6—32.5,17.8,21.3,NJ,24 : 76,21%,18.0,2017
Norfolk,Norfolk,36.884919,-76.309653,Old Dominion University,501-600,1.7,27.5,27.6—32.5,17.7,23.1,VA,54 : 46,3%,20.2,2017
Toledo,Lucas,41.657246,-83.615936,University of Toledo,501-600,44.3,38.8,27.6—32.5,14.1,32.8,OH,50 : 50,10%,16.5,2017
Milwaukee,Milwaukee,43.076848,-87.880488,University of Wisconsin-Milwaukee,501-600,34.0,28.2,27.6—32.5,17.8,21.1,WI,52 : 48,6%,18.2,2017
Auburn University,Lee,32.600201,-85.492409,Auburn University,601-800,40.0,30.9,18.6—27.5,18.3,31.7,AL,50 : 50,5%,17.6,2017
Clemson,Pickens,34.677329,-82.834463,Clemson University,601-800,38.8,35.6,18.6—27.5,22.0,23.5,SC,46 : 54,7%,17.0,2017
Melbourne,Brevard,28.064503,-80.624628,Florida Institute of Technology,601-800,36.6,60.6,18.6—27.5,13.4,25.5,FL,33 : 67,30%,14.0,2017
Hempstead,Nassau,40.715959,-73.60078,Hofstra University,601-800,32.1,26.6,18.6—27.5,4.8,35.8,NY,55 : 45,10%,14.2,2017
Greensboro,Guilford,36.067503,-79.809844,University of North Carolina at Greensboro,601-800,33.2,19.4,18.6—27.5,15.5,19.3,NC,66 : 34,3%,22.1,2017
Rochester Hills,Oakland,42.674569,-83.216414,Oakland University,601-800,33.5,24.5,18.6—27.5,11.8,17.4,MI,59 : 41,2%,20.4,2017
Rochester,Monroe,43.084436,-77.673854,Rochester Institute of Technology,601-800,33.7,33.8,18.6—27.5,16.2,19.8,NY,34 : 66,16%,14.1,2017
Lubbock,Lubbock,33.580451,-101.877129,Texas Tech University,601-800,33.6,41.1,18.6—27.5,16.6,27.7,TX,45 : 55,7%,20.2,2017
Hattiesburg,Forrest,31.327499,-89.33791,University of Southern Mississippi,801+,38.3,22.6,8.3—18.5,8.5,20.1,MS,63 : 37,3%,17.8,2017
Tempe,Maricopa,33.4172,-111.9355,Arizona State University (Tempe),131,36.6,49.7,57.2,48.9,38.5,AZ,44 : 56,16%,20.1,2017
Fort Collins,Larimer,39.7448,-104.9887,"Colorado State University, Fort Collins",301-350,43.6,35.1,40.7—43.3,32.6,29.6,CO,53 : 47,5%,16.4,2017
New York,New York,40.8075,-73.9619,Columbia University,16,44.9,75.3,86.1,78.9,86.9,NY,,30%,6.0,2017
Atlanta,Fulton,33.7756,-84.3963,Georgia Institute of Technology,=33,62.3,72.8,76.3,79.2,60.8,GA,31 : 69,26%,19.8,2017
Bloomington,Monroe,39.1678,-86.5235,Indiana University,150,35.2,47.0,55.0,40.2,46.4,IN,52 : 48,14%,14.2,2017
Kent,Portage,41.1516,-81.337,Kent State University,401-500,32.4,34.3,32.6—37.5,17.1,22.3,TX,59 : 41,8%,18.6,2017
Baton Rouge,East Baton Rouge,30.4127,-91.1807,Louisiana State University,501-600,32.1,29.7,27.6—32.5,20.2,31.1,LA,52 : 48,5%,19.9,2017
Columbia,Boone,38.941,-92.3264,Mizzou - University of Missouri,351-400,33.8,34.0,37.6—40.6,19.3,30.9,MO,53 : 47,6%,11.3,2017
Las Cruces,Doña Ana,32.2829,-106.7478,New Mexico State University (Main campus),401-500,36.9,33.0,32.6—37.5,21.0,19.8,NY,53 : 47,7%,17.8,2017
Raleigh,Wake,35.7851,-78.6744,North Carolina State University,201-250,42.0,50.2,46.3—50.4,32.7,37.5,NC,45 : 55,12%,13.1,2017
Boston,Suffolk,42.3395,-71.0878,"Northeastern University, US",=182,35.5,63.0,51.7,25.7,38.2,MA,50 : 50,28%,14.5,2017
Columbus,Franklin,39.9995,-83.0082,Ohio State University (Main campus),=72,50.6,54.6,64.2,53.1,57.0,OH,49 : 51,12%,12.8,2017
Athens,Athens,39.3237,-82.1035,Ohio University (Main campus),601-800,34.2,29.5,18.6—27.5,14.2,24.9,OH,57 : 43,6%,20.9,2017
Stillwater,Payne,36.123,-97.0696,Oklahoma State University,501-600,36.3,27.2,27.6—32.5,24.7,26.4,OK,49 : 51,7%,21.4,2017
Portland,Multnomah,45.4988,-122.686,Oregon Health and Science University,251-300,44.9,23.2,43.5—46.2,15.3,29.7,OR,65 : 35,2%,1.1,2017
West Lafayette,Tippecanoe,40.4281,-86.9143,Purdue University West Lafayette,70,62.5,67.7,64.5,66.8,57.2,IN,42 : 58,22%,17.7,2017
New Brunswick,Middlesex,40.4995,-74.447,Rutgers University – New Brunswick,141,36.6,35.6,56.2,49.8,47.7,NJ,52 : 48,8%,10.8,2017
Albany,Albany,42.6869,-73.8249,SUNY University at Albany,501-600,32.7,34.4,27.6—32.5,22.8,23.5,NY,52 : 48,8%,16.0,2017
St. Louis,St. Louis City,38.6365,-90.2333,Saint Louis University,301-350,33.9,28.9,40.7—43.3,11.9,36.0,MO,58 : 42,8%,5.7,2017
College Station,Brazos,30.6107,-96.3491,Texas A&M University,169,46.9,50.1,53.2,57.0,53.1,TX,47 : 53,9%,22.1,2017
Chicago,Cook,41.7901,-87.6009,The University of Chicago,=10,37.7,67.8,88.9,89.1,88.1,IL,42 : 58,24%,6.2,2017
Knoxville,Knox,35.9551,-83.92966,The University of Tennessee-Knoxville,251-300,42.1,39.5,43.5—46.2,21.5,30.5,TN,,4%,17.8,2017
New Orleans,Orleans,29.9397,-90.1203,Tulane University,351-400,35.5,37.9,37.6—40.6,15.7,41.4,LA,56 : 44,11%,11.8,2017
Berkeley,Alameda,37.8757,-122.2484,"University of California, Berkeley",=10,37.6,59.6,88.9,96.1,82.4,CA,52 : 48,16%,12.0,2017
Davis,Yolo,38.5381,-121.751,"University of California, Davis",=51,50.0,61.2,70.4,67.3,61.4,CA,55 : 45,15%,13.7,2017
Irvine,Orange,33.6431,-117.8378,"University of California, Irvine",=98,45.5,62.3,60.3,45.0,42.5,CA,53 : 47,18%,17.2,2017
Los Angeles,Los Angeles,34.0688,-118.4439,"University of California, Los Angeles",14,47.1,58.0,86.6,89.0,82.9,CA,53 : 47,16%,9.9,2017
Riverside,Riverside,33.9745,-117.3287,"University of California, Riverside",=165,40.5,62.2,53.4,33.7,32.0,CA,51 : 49,13%,22.6,2017
San Diego,San Diego,32.881,-117.2377,"University of California, San Diego",41,67.3,47.7,73.2,66.2,61.2,CA,47 : 53,14%,6.6,2017
Santa Barbara,Santa Barbara,34.4123,-119.8514,"University of California, Santa Barbara",48,87.6,63.3,71.2,62.6,52.2,CA,51 : 49,12%,27.4,2017
Santa Cruz,Santa Cruz,36.999,-122.0607,"University of California, Santa Cruz",146,40.9,48.7,55.6,35.3,34.7,CA,53 : 47,2%,24.5,2017
Honolulu,Honolulu,21.2972,-157.8162,University of Hawai’i at Mānoa,201-250,53.2,63.5,46.3—50.4,38.7,34.2,HI,56 : 44,13%,10.9,2017
Chicago,Cook,41.8718,-87.6505,University of Illinois Chicago,200,41.6,57.1,50.6,35.3,46.0,IL,53 : 47,18%,11.6,2017
Baltimore,Baltimore,39.2567,-76.7115,"University of Maryland, Baltimore County",401-500,33.4,29.6,32.6—37.5,18.7,21.3,MD,46 : 54,8%,17.8,2017
College Park,Prince George's,38.9886,-76.9396,"University of Maryland, College Park",67,38.5,36.7,65.3,63.2,51.0,MD,48 : 52,9%,16.8,2017
Amherst,Hampshire,42.3886,-72.5293,University of Massachusetts,=165,50.2,51.5,53.4,34.8,40.4,MA,49 : 51,13%,13.1,2017
Minneapolis,Hennepin,44.9778,-93.2353,University of Minnesota,53,94.2,38.2,70.3,69.8,60.3,MN,52 : 48,13%,17.5,2017
Missoula,Missoula,46.861,-113.9829,University of Montana,401-500,36.0,25.4,32.6—37.5,15.4,34.4,MT,55 : 45,4%,17.6,2017
Pittsburgh,Allegheny,40.4426,-79.9541,University of Pittsburgh-Pittsburgh campus,=80,39.6,35.4,62.2,51.9,49.2,PA,51 : 49,10%,5.9,2017
Arlington,Tarrant,32.7291,-97.1151,University of Texas at Arlington,501-600,40.7,36.3,27.6—32.5,17.4,20.0,TX,58 : 42,11%,24.1,2017
Austin,Travis,30.2838,-97.7364,University of Texas at Austin,50,51.3,35.7,70.8,65.9,63.9,TX,51 : 49,10%,17.2,2017
Richardson,Dallas,32.9894,-96.7487,University of Texas at Dallas,201-250,43.3,53.1,46.3—50.4,32.5,26.9,TX,44 : 56,25%,25.0,2017
El Paso,El Paso,31.7717,-106.5035,University of Texas at El Paso,601-800,32.1,33.0,18.6—27.5,20.9,20.7,TX,53 : 47,7%,24.3,2017
Charlottesville,Albemarle,38.0339,-78.5118,University of Virginia (Main campus),=121,41.9,44.6,58.1,38.6,53.7,VA,53 : 47,12%,10.0,2017
Seattle,King,47.6557,-122.3108,University of Washington,=25,49.8,55.0,80.2,80.4,70.2,WA,53 : 47,15%,11.9,2017
Williamsburg,James City,37.2732,-76.7196,William & Mary,251-300,32.7,28.8,43.5—46.2,16.8,40.8,VA,55 : 45,8%,11.9,2017
